"Lap","Tempo","Tempo cumulato","Distanza km","Passo medio min/km","PRP medio min/km","FC Media bpm","FC max bpm","Ascesa totale m","Discesa totale m","Potenza media W","W/kg medio","Potenza max W","W/kg massimo","Cadenza di corsa media pam","Tempo medio di contatto con il suolo ms","Media bilanciamento TCS %","Lunghezza media passo m","Oscillazione verticale media cm","Rapporto verticale medio %","Calorie C","Temperatura med","Passo migliore min/km","Cadenza di corsa max pam","Tempo in movimento","Passo medio in movimento min/km","Perdita velocità di passo media cm/s","Percentuale perdita velocità di passo media %"
"1","6:37.2","6:37.2","1.00","6:37","6:28","134","141","10","1","268","3.88","351","5.09","176","269","50.8% S / 49.2% D","0.86","8.1","9.2","71","25.0","6:11","196","6:37","6:37","--","--"
"2","6:17.3","12:55","1.00","6:17","6:20","139","143","1","5","259","3.75","295","4.28","178","266","50.5% S / 49.5% D","0.89","7.8","8.6","70","21.0","6:03","182","6:17","6:17","--","--"
"3","6:06.4","19:01","1.00","6:06","6:11","138","142","0","6","260","3.77","286","4.14","179","263","50.8% S / 49.2% D","0.92","7.9","8.4","68","18.0","5:58","183","6:06","6:06","--","--"
"4","6:09.3","25:10","1.00","6:09","6:09","141","145","1","2","265","3.84","290","4.20","179","262","50.8% S / 49.2% D","0.91","8.0","8.5","70","17.0","5:55","182","6:09.3","6:09","--","--"
"5","6:03.7","31:14","1.00","6:04","6:05","141","144","1","2","265","3.84","290","4.20","180","260","50.6% S / 49.4% D","0.92","7.9","8.4","69","17.0","5:54","183","6:03","6:03","--","--"
"6","6:03.5","37:17","1.00","6:04","6:04","143","147","4","6","264","3.83","342","4.96","180","256","50.3% S / 49.7% D","0.92","7.9","8.3","69","17.0","5:50","183","6:03.5","6:04","--","--"
"7","6:05.7","43:23","1.00","6:06","6:05","140","146","4","0","264","3.83","297","4.30","180","253","49.8% S / 50.2% D","0.91","7.9","8.5","67","17.0","5:16","184","6:05.7","6:06","--","--"
"8","6:03.8","49:27","1.00","6:04","6:06","143","148","1","3","263","3.81","348","5.04","180","250","49.4% S / 50.6% D","0.92","8.1","8.6","68","17.0","6:00","183","6:03.8","6:04","--","--"
"9","6:03.2","55:30","1.00","6:03","6:02","143","146","1","0","266","3.86","288","4.17","180","248","48.7% S / 51.3% D","0.92","8.1","8.6","67","17.0","5:54","183","6:03","6:03","--","--"
"10","6:08.0","1:01:38","1.00","6:08","6:09","143","146","0","0","259","3.75","279","4.04","179","248","48.4% S / 51.6% D","0.91","8.0","8.6","67","17.0","6:00","182","6:08.0","6:08","--","--"
"11","6:10.2","1:07:48","1.00","6:10","6:10","143","146","1","0","260","3.77","293","4.25","179","248","48.1% S / 51.9% D","0.90","8.0","8.7","67","17.0","6:05","181","6:10","6:10","--","--"
"12","6:12.7","1:14:01","1.00","6:13","6:12","142","147","5","3","265","3.84","325","4.71","179","248","48.1% S / 51.9% D","0.90","8.2","8.9","66","19.0","5:55","183","6:12.7","6:13","--","--"
"13","6:20.8","1:20:22","1.00","6:21","6:16","142","145","4","1","267","3.87","324","4.70","177","254","49.0% S / 51.0% D","0.90","8.3","9.1","67","19.0","5:52","181","6:20.8","6:21","--","--"
"14","6:24.7","1:26:46","1.00","6:25","6:22","141","146","5","0","267","3.87","337","4.88","176","253","48.5% S / 51.5% D","0.89","8.4","9.3","69","19.0","5:36","183","6:24","6:24","--","--"
"15","0:58.8","1:27:45","0.15","6:24","6:26","142","144","1","0","258","3.74","283","4.10","176","259","48.3% S / 51.7% D","0.88","8.2","9.1","10","19.0","6:23","182","0:58","6:19","--","--"
"Riepilogo","1:27:45","1:27:45","14.15","6:12","6:12","141","148","40","30","264","3.83","351","5.09","179","256","49.5% S / 50.5% D","0.90","8.0","8.7","965","18.4","5:16","196","1:27:42","6:12","--","--"
