"Lap","Tempo","Tempo cumulato","Distanza km","Passo medio min/km","PRP medio min/km","FC Media bpm","FC max bpm","Ascesa totale m","Discesa totale m","Potenza media W","W/kg medio","Potenza max W","W/kg massimo","Cadenza di corsa media pam","Tempo medio di contatto con il suolo ms","Media bilanciamento TCS %","Lunghezza media passo m","Oscillazione verticale media cm","Rapporto verticale medio %","Calorie C","Temperatura med","Passo migliore min/km","Cadenza di corsa max pam","Tempo in movimento","Passo medio in movimento min/km","Perdita velocità di passo media cm/s","Percentuale perdita velocità di passo media %"
"1","6:50.4","6:50.4","1.00","6:50","6:54","132","140","1","3","240","3.48","293","4.25","174","276","50.4% S / 49.6% D","0.84","8.0","9.3","68","28.0","6:27","178","6:49","6:49","--","--"
"2","6:41.7","13:32","1.00","6:42","6:32","133","142","8","5","256","3.71","360","5.22","174","275","50.2% S / 49.8% D","0.86","8.0","9.1","71","25.0","6:14","177","6:41.7","6:42","--","--"
"3","7:02.9","20:35","1.00","7:03","7:02","130","135","7","9","243","3.52","301","4.36","171","282","50.8% S / 49.2% D","0.83","8.3","9.7","69","24.0","6:43","177","7:02.9","7:03","--","--"
"4","7:04.1","27:39","1.00","7:04","7:02","135","143","6","1","250","3.62","309","4.48","169","283","50.6% S / 49.4% D","0.83","8.4","9.9","70","23.0","6:43","174","7:04","7:04","--","--"
"5","6:46.1","34:25","1.00","6:46","6:47","136","140","0","2","253","3.67","277","4.01","170","277","50.4% S / 49.6% D","0.87","8.6","9.6","69","23.0","6:34","174","6:46","6:46","--","--"
"6","6:40.5","41:06","1.00","6:40","6:41","138","141","0","1","253","3.67","305","4.42","171","274","50.0% S / 50.0% D","0.88","8.6","9.6","69","23.0","6:26","174","6:40.5","6:41","--","--"
"7","6:43.0","47:49","1.00","6:43","6:43","139","150","8","11","257","3.72","341","4.94","170","274","50.0% S / 50.0% D","0.87","8.8","9.9","70","23.0","6:27","178","6:43","6:43","--","--"
"8","6:36.3","54:25","1.00","6:36","6:34","139","143","3","0","260","3.77","291","4.22","170","270","49.4% S / 50.6% D","0.89","8.9","9.8","69","23.0","6:27","173","6:36","6:36","--","--"
"9","6:37.9","1:01:03","1.00","6:38","6:41","140","144","0","6","256","3.71","310","4.49","169","267","48.8% S / 51.2% D","0.89","9.1","10.0","68","23.0","6:23","173","6:37.9","6:38","--","--"
"10","6:45.8","1:07:49","1.00","6:46","6:48","139","145","1","2","250","3.62","307","4.45","170","264","49.1% S / 50.9% D","0.87","8.8","10.0","68","23.0","6:30","176","6:45.8","6:46","--","--"
"11","6:45.2","1:14:34","1.00","6:45","6:44","140","146","2","3","254","3.68","303","4.39","171","259","48.7% S / 51.3% D","0.87","8.8","9.9","68","23.0","6:31","175","6:45","6:45","--","--"
"12","6:56.4","1:21:30","1.00","6:56","6:47","136","145","8","2","258","3.74","337","4.88","170","263","49.2% S / 50.8% D","0.85","8.9","10.2","67","23.0","5:48","176","6:55","6:55","--","--"
"13","6:23.4","1:27:54","1.00","6:23","6:08","141","148","19","0","293","4.25","350","5.07","173","259","48.5% S / 51.5% D","0.90","8.8","9.5","71","24.0","5:49","177","6:23","6:23","--","--"
"14","6:37.8","1:34:32","1.00","6:38","6:31","144","147","9","4","273","3.96","322","4.67","171","269","49.2% S / 50.8% D","0.89","8.8","9.8","71","24.0","6:16","174","6:37.8","6:38","--","--"
"15","0:42.8","1:35:14","0.11","6:27","6:41","141","144","0","0","268","3.88","312","4.52","167","267","49.0% S / 51.0% D","0.92","9.8","10.5","8","24.0","6:30","170","0:42","6:20","--","--"
"Riepilogo","1:35:14","1:35:14","14.11","6:45","6:42","137","150","73","49","257","3.72","360","5.22","171","271","49.7% S / 50.3% D","0.87","8.6","9.8","975","23.7","5:48","178","1:35:10","6:45","--","--"
