"Lap","Tempo","Tempo cumulato","Distanza km","Passo medio min/km","PRP medio min/km","FC Media bpm","FC max bpm","Ascesa totale m","Discesa totale m","Potenza media W","W/kg medio","Potenza max W","W/kg massimo","Cadenza di corsa media pam","Tempo medio di contatto con il suolo ms","Media bilanciamento TCS %","Lunghezza media passo m","Oscillazione verticale media cm","Rapporto verticale medio %","Calorie C","Temperatura med","Passo migliore min/km","Cadenza di corsa max pam","Tempo in movimento","Passo medio in movimento min/km","Perdita velocità di passo media cm/s","Percentuale perdita velocità di passo media %"
"1","6:31.1","6:31.1","1.00","6:31","6:38","132","141","1","5","261","3.78","309","4.48","173","273","50.4% S / 49.6% D","0.89","8.5","9.4","68","27.0","5:28","177","6:31.1","6:31","--","--"
"2","6:32.4","13:03","1.00","6:32","6:34","140","145","3","2","268","3.88","305","4.42","175","272","50.6% S / 49.4% D","0.87","8.2","9.1","72","23.0","6:26","178","6:32.4","6:32","--","--"
"3","6:29.6","19:33","1.00","6:30","6:34","140","146","2","7","261","3.78","325","4.71","174","274","50.4% S / 49.6% D","0.88","8.2","9.1","69","22.0","6:13","176","6:29","6:29","--","--"
"4","6:31.2","26:04","1.00","6:31","6:37","140","146","3","14","249","3.61","307","4.45","174","274","50.4% S / 49.6% D","0.88","8.1","9.1","69","21.0","5:38","180","6:31.2","6:31","--","--"
"5","6:34.5","32:39","1.00","6:34","6:42","141","146","0","10","238","3.45","269","3.90","175","271","50.3% S / 49.7% D","0.88","8.0","8.9","69","21.0","5:57","178","6:34","6:34","--","--"
"6","6:40.5","39:19","1.00","6:40","6:45","142","145","2","4","239","3.46","282","4.09","175","273","50.3% S / 49.7% D","0.86","8.0","9.1","70","21.0","6:17","177","6:40.5","6:41","--","--"
"7","6:35.6","45:55","1.00","6:36","6:28","144","151","11","2","254","3.68","311","4.51","176","271","50.1% S / 49.9% D","0.87","7.9","8.9","72","21.0","5:44","180","6:35","6:35","--","--"
"8","6:49.5","52:44","1.00","6:50","6:45","144","149","6","1","245","3.55","292","4.23","176","271","50.0% S / 50.0% D","0.84","7.9","9.2","71","21.0","6:24","179","6:49.5","6:49","--","--"
"9","7:00.2","59:45","1.00","7:00","6:54","143","149","9","1","251","3.64","310","4.49","174","278","50.2% S / 49.8% D","0.82","7.9","9.4","70","20.0","6:51","177","7:00","7:00","--","--"
"10","7:01.5","1:06:46","1.00","7:02","7:04","141","146","2","5","239","3.46","281","4.07","173","278","50.2% S / 49.8% D","0.82","7.9","9.5","67","19.0","6:35","177","7:01","7:01","--","--"
"11","6:53.5","1:13:40","1.00","6:54","6:51","143","146","4","1","246","3.57","280","4.06","171","282","50.6% S / 49.4% D","0.85","8.2","9.4","68","19.0","6:27","175","6:53.5","6:54","--","--"
"12","6:55.4","1:20:35","1.00","6:55","6:50","144","148","8","1","252","3.65","314","4.55","172","281","50.3% S / 49.7% D","0.84","8.2","9.5","69","19.0","6:41","176","6:55","6:55","--","--"
"13","0:19.7","1:20:55","0.05","7:02","6:40","147","148","1","0","289","4.19","320","4.64","171","289","50.5% S / 49.5% D","0.82","8.0","9.5","3","19.0","7:07","171","0:19","6:48","--","--"
"Riepilogo","1:20:55","1:20:55","12.05","6:43","6:43","141","151","53","55","250","3.62","325","4.71","174","275","50.3% S / 49.7% D","0.86","8.1","9.2","837","21.1","5:28","180","1:20:51","6:43","--","--"
