"Lap","Tempo","Tempo cumulato","Distanza km","Passo medio min/km","PRP medio min/km","FC Media bpm","FC max bpm","Ascesa totale m","Discesa totale m","Potenza media W","W/kg medio","Potenza max W","W/kg massimo","Cadenza di corsa media pam","Tempo medio di contatto con il suolo ms","Media bilanciamento TCS %","Lunghezza media passo m","Oscillazione verticale media cm","Rapporto verticale medio %","Calorie C","Temperatura med","Passo migliore min/km","Cadenza di corsa max pam","Tempo in movimento","Passo medio in movimento min/km","Perdita velocità di passo media cm/s","Percentuale perdita velocità di passo media %"
"1","6:40.0","6:40.0","1.00","6:40","6:37","131","140","7","3","262","3.80","306","4.43","174","268","50.5% S / 49.5% D","0.86","8.4","9.6","70","27.0","5:56","178","6:39","6:39","--","--"
"2","6:33.6","13:14","1.00","6:34","6:33","138","142","4","1","259","3.75","292","4.23","174","271","50.6% S / 49.4% D","0.87","8.2","9.2","72","23.0","6:03","177","6:33.6","6:34","--","--"
"3","6:30.7","19:44","1.00","6:31","6:34","137","141","0","6","252","3.65","285","4.13","174","272","50.5% S / 49.5% D","0.89","8.2","9.1","69","20.0","6:17","177","6:30.7","6:31","--","--"
"4","6:37.9","26:22","1.00","6:38","6:41","136","144","3","5","246","3.57","346","5.01","171","272","49.9% S / 50.1% D","0.88","8.2","9.2","69","20.0","6:06","178","6:36","6:36","--","--"
"5","6:27.3","32:50","1.00","6:27","6:26","137","141","2","3","253","3.67","286","4.14","174","263","49.5% S / 50.5% D","0.90","8.3","9.1","69","20.0","6:05","176","6:27","6:27","--","--"
"6","6:34.6","39:24","1.00","6:35","6:32","136","140","2","0","250","3.62","295","4.28","172","257","49.2% S / 50.8% D","0.88","8.3","9.2","68","20.0","6:19","176","6:31","6:31","--","--"
"7","6:24.1","45:48","1.00","6:24","6:24","137","141","1","2","255","3.70","279","4.04","174","256","49.0% S / 51.0% D","0.90","8.4","9.1","67","20.0","6:10","177","6:24.1","6:24","--","--"
"8","6:38.9","52:27","1.00","6:39","6:36","135","138","2","0","248","3.59","281","4.07","174","252","49.4% S / 50.6% D","0.87","8.3","9.4","68","20.0","6:15","176","6:38","6:38","--","--"
"9","6:30.0","58:57","1.00","6:30","6:32","135","138","1","3","248","3.59","279","4.04","174","248","48.9% S / 51.1% D","0.88","8.3","9.2","66","20.0","6:10","177","6:30.0","6:30","--","--"
"10","6:31.2","1:05:28","1.00","6:31","6:25","136","142","5","2","257","3.72","296","4.29","170","254","48.8% S / 51.2% D","0.91","8.5","9.2","67","21.0","6:06","176","6:29","6:29","--","--"
"11","6:24.9","1:11:53","1.00","6:25","6:22","135","141","5","2","258","3.74","289","4.19","174","249","49.2% S / 50.8% D","0.90","8.5","9.3","65","21.0","5:46","176","6:23","6:23","--","--"
"12","6:21.3","1:18:15","1.00","6:21","6:22","138","142","0","2","256","3.71","281","4.07","174","246","48.8% S / 51.2% D","0.90","8.6","9.2","66","21.0","6:13","177","6:21.3","6:21","--","--"
"13","6:18.5","1:24:33","1.00","6:19","6:23","140","146","3","9","258","3.74","363","5.26","173","249","48.9% S / 51.1% D","0.92","8.8","9.4","65","23.0","5:58","177","6:18","6:18","--","--"
"14","6:19.0","1:30:52","1.00","6:19","6:15","140","143","5","0","267","3.87","315","4.57","173","253","48.9% S / 51.1% D","0.92","8.6","9.2","66","24.0","5:46","176","6:19.0","6:19","--","--"
"15","6:30.1","1:37:22","1.00","6:30","6:20","139","144","14","0","269","3.90","353","5.12","171","258","48.8% S / 51.2% D","0.91","8.6","9.3","66","24.0","5:14","176","6:30.1","6:30","--","--"
"16","0:53.9","1:38:16","0.14","6:31","6:22","141","143","1","0","266","3.86","292","4.23","173","259","48.8% S / 51.2% D","0.89","8.4","9.3","9","24.0","6:08","174","0:52","6:17","--","--"
"Riepilogo","1:38:16","1:38:16","15.14","6:30","6:28","137","146","55","39","256","3.71","363","5.26","173","258","49.4% S / 50.6% D","0.89","8.4","9.3","1,023","21.6","5:14","178","1:38:02","6:29","--","--"
