"Lap","Tempo","Tempo cumulato","Distanza km","Passo medio min/km","PRP medio min/km","FC Media bpm","FC max bpm","Ascesa totale m","Discesa totale m","Potenza media W","W/kg medio","Potenza max W","W/kg massimo","Cadenza di corsa media pam","Tempo medio di contatto con il suolo ms","Media bilanciamento TCS %","Lunghezza media passo m","Oscillazione verticale media cm","Rapporto verticale medio %","Calorie C","Temperatura med","Passo migliore min/km","Cadenza di corsa max pam","Tempo in movimento","Passo medio in movimento min/km","Perdita velocità di passo media cm/s","Percentuale perdita velocità di passo media %"
"1","7:02.8","7:02.8","1.00","7:03","6:41","132","150","22","3","288","4.17","468","6.78","162","274","50.6% S / 49.4% D","0.88","8.8","9.9","73","23.0","5:29","175","6:44","6:44","--","--"
"2","6:36.7","13:39","1.00","6:37","6:36","142","147","7","6","275","3.99","332","4.81","170","277","50.5% S / 49.5% D","0.89","8.9","9.8","71","20.0","6:24","173","6:36.7","6:37","--","--"
"3","6:38.9","20:18","1.00","6:39","6:49","141","145","4","17","248","3.59","371","5.38","168","279","50.5% S / 49.5% D","0.89","8.9","9.8","69","19.0","6:24","172","6:38.9","6:39","--","--"
"4","6:52.3","27:11","1.00","6:52","6:48","142","147","9","6","266","3.86","373","5.41","168","280","50.5% S / 49.5% D","0.87","9.0","10.2","70","18.0","6:38","171","6:52","6:52","--","--"
"5","6:59.3","34:10","1.00","6:59","6:58","146","151","8","9","266","3.86","358","5.19","168","278","50.1% S / 49.9% D","0.85","9.0","10.5","70","17.0","5:52","171","6:59","6:59","--","--"
"6","7:28.5","41:38","1.00","7:28","7:12","146","153","14","14","251","3.64","357","5.17","160","284","50.7% S / 49.3% D","0.83","8.9","10.4","74","16.0","6:43","171","7:17","7:17","--","--"
"7","6:57.0","48:35","1.00","6:57","6:56","146","150","8","6","262","3.80","356","5.16","169","282","50.5% S / 49.5% D","0.85","8.8","10.1","70","15.0","6:35","171","6:57","6:57","--","--"
"8","6:54.2","55:30","1.00","6:54","6:57","146","150","3","5","245","3.55","315","4.57","168","283","50.5% S / 49.5% D","0.86","8.8","10.0","68","15.0","6:44","171","6:54","6:54","--","--"
"9","7:23.0","1:02:53","1.00","7:23","7:20","144","150","7","5","245","3.55","320","4.64","159","287","50.5% S / 49.5% D","0.86","8.8","10.1","71","15.0","6:35","171","7:02","7:02","--","--"
"10","7:11.9","1:10:05","1.00","7:12","7:06","143","149","6","7","260","3.77","317","4.59","166","287","50.2% S / 49.8% D","0.84","9.0","10.5","67","15.0","7:00","170","7:11.9","7:12","--","--"
"11","6:58.2","1:17:03","1.00","6:58","6:59","144","148","9","6","268","3.88","374","5.42","166","287","50.6% S / 49.4% D","0.86","9.0","10.2","67","16.0","6:41","169","6:58","6:58","--","--"
"12","6:52.6","1:23:55","1.00","6:53","6:59","145","150","8","9","264","3.83","331","4.80","167","285","50.6% S / 49.4% D","0.87","9.0","10.1","67","16.0","6:40","170","6:52.6","6:53","--","--"
"13","6:43.8","1:30:39","1.00","6:44","6:47","145","152","6","10","253","3.67","360","5.22","168","284","50.5% S / 49.5% D","0.88","8.8","9.8","66","17.0","6:12","171","6:43.8","6:44","--","--"
"14","0:10.7","1:30:50","0.03","6:51","6:39","146","147","2","0","237","3.43","271","3.93","168","286","50.7% S / 49.3% D","0.91","8.6","9.2","2","17.0","6:20","169","0:09","5:44","--","--"
"Riepilogo","1:30:50","1:30:50","13.03","6:58","6:56","143","153","112","103","261","3.78","468","6.78","166","282","50.5% S / 49.5% D","0.86","8.9","10.1","904","17.0","5:29","175","1:29:56","6:54","--","--"
