"Lap","Tempo","Tempo cumulato","Distanza km","Passo medio min/km","PRP medio min/km","FC Media bpm","FC max bpm","Ascesa totale m","Discesa totale m","Potenza media W","W/kg medio","Potenza max W","W/kg massimo","Cadenza di corsa media pam","Tempo medio di contatto con il suolo ms","Media bilanciamento TCS %","Lunghezza media passo m","Oscillazione verticale media cm","Rapporto verticale medio %","Calorie C","Temperatura med","Passo migliore min/km","Cadenza di corsa max pam","Tempo in movimento","Passo medio in movimento min/km","Perdita velocità di passo media cm/s","Percentuale perdita velocità di passo media %"
"1","6:27.1","6:27.1","1.00","6:27","6:29","131","142","6","5","262","3.80","336","4.87","176","271","50.7% S / 49.3% D","0.88","8.0","8.9","69","26.0","6:01","180","6:27","6:27","--","--"
"2","6:10.8","12:38","1.00","6:11","6:16","140","144","0","10","258","3.74","304","4.41","177","266","50.5% S / 49.5% D","0.92","8.1","8.6","69","23.0","6:01","179","6:10.8","6:11","--","--"
"3","6:05.7","18:44","1.00","6:06","6:11","139","144","1","8","260","3.77","303","4.39","177","264","50.6% S / 49.4% D","0.93","8.1","8.5","68","20.0","5:23","179","6:05","6:05","--","--"
"4","6:12.0","24:56","1.00","6:12","6:06","140","144","7","0","267","3.87","292","4.23","177","265","50.6% S / 49.4% D","0.91","8.1","8.6","70","19.0","5:56","179","6:12","6:12","--","--"
"5","6:10.5","31:06","1.00","6:11","6:11","143","146","2","1","264","3.83","279","4.04","177","262","50.6% S / 49.4% D","0.92","8.2","8.7","70","19.0","5:54","180","6:10.5","6:11","--","--"
"6","6:16.6","37:23","1.00","6:17","6:13","144","147","7","6","267","3.87","337","4.88","177","264","50.7% S / 49.3% D","0.91","8.0","8.7","70","19.0","5:57","182","6:16","6:16","--","--"
"7","6:20.8","43:44","1.00","6:21","6:22","143","146","1","0","258","3.74","319","4.62","177","265","50.6% S / 49.4% D","0.89","8.1","8.9","70","19.0","6:10","179","6:20.8","6:21","--","--"
"8","6:31.0","50:15","1.00","6:31","6:38","142","147","1","3","243","3.52","289","4.19","172","272","50.5% S / 49.5% D","0.88","8.0","8.9","69","19.0","5:58","179","6:31.0","6:31","--","--"
"9","6:27.2","56:42","1.00","6:27","6:24","143","145","1","1","253","3.67","279","4.04","176","269","50.5% S / 49.5% D","0.88","8.0","8.8","70","20.0","6:13","179","6:27.2","6:27","--","--"
"10","6:34.9","1:03:17","1.00","6:35","6:35","144","147","1","0","249","3.61","271","3.93","175","271","50.6% S / 49.4% D","0.86","8.0","9.1","69","20.0","6:26","178","6:34","6:34","--","--"
"11","6:38.2","1:09:55","1.00","6:38","6:40","142","144","1","2","244","3.54","295","4.28","176","272","50.4% S / 49.6% D","0.85","7.9","9.0","68","21.0","6:23","180","6:38.2","6:38","--","--"
"12","6:34.4","1:16:29","1.00","6:34","6:32","141","144","6","0","256","3.71","285","4.13","177","269","50.4% S / 49.6% D","0.86","7.9","9.1","67","22.0","6:13","179","6:34","6:34","--","--"
"13","6:29.0","1:22:58","1.00","6:29","6:28","142","144","2","2","257","3.72","348","5.04","177","268","50.4% S / 49.6% D","0.88","8.1","9.0","67","23.0","6:10","179","6:29","6:29","--","--"
"14","6:36.3","1:29:35","1.00","6:36","6:36","142","145","3","3","254","3.68","288","4.17","176","270","50.4% S / 49.6% D","0.86","8.1","9.2","67","23.0","6:27","180","6:36","6:36","--","--"
"15","6:27.0","1:36:02","1.00","6:27","6:23","143","146","8","1","267","3.87","335","4.86","176","268","50.4% S / 49.6% D","0.88","8.1","9.1","67","24.0","6:19","179","6:27","6:27","--","--"
"16","6:31.1","1:42:33","1.00","6:31","6:31","143","148","5","6","262","3.80","309","4.48","175","270","50.5% S / 49.5% D","0.88","8.2","9.2","65","24.0","6:17","178","6:31","6:31","--","--"
"17","6:47.4","1:49:20","1.00","6:47","6:39","144","149","8","0","263","3.81","312","4.52","174","273","50.6% S / 49.4% D","0.85","8.2","9.5","67","24.0","6:24","177","6:47.4","6:47","--","--"
"18","0:40.4","1:50:00","0.10","6:59","6:04","153","155","6","1","321","4.65","373","5.41","169","285","50.7% S / 49.3% D","0.84","8.5","9.9","8","24.0","7:00","172","0:39","6:44","--","--"
"Riepilogo","1:50:00","1:50:00","17.10","6:26","6:26","142","155","67","50","258","3.74","373","5.41","176","268","50.5% S / 49.5% D","0.88","8.1","8.9","1,170","21.5","5:23","182","1:49:56","6:26","--","--"
