"Lap","Tempo","Tempo cumulato","Distanza km","Passo medio min/km","PRP medio min/km","FC Media bpm","FC max bpm","Ascesa totale m","Discesa totale m","Potenza media W","W/kg medio","Potenza max W","W/kg massimo","Cadenza di corsa media pam","Tempo medio di contatto con il suolo ms","Media bilanciamento TCS %","Lunghezza media passo m","Oscillazione verticale media cm","Rapporto verticale medio %","Calorie C","Temperatura med","Passo migliore min/km","Cadenza di corsa max pam","Tempo in movimento","Passo medio in movimento min/km","Perdita velocità di passo media cm/s","Percentuale perdita velocità di passo media %"
"1","5:15.4","5:15.4","1.00","5:15","5:10","143","157","16","4","346","5.01","429","6.22","178","252","50.8% S / 49.2% D","1.06","9.1","8.7","65","21.0","4:33","183","5:15","5:15","--","--"
"2","4:49.1","10:04","1.00","4:49","4:50","160","164","6","4","358","5.19","445","6.45","180","244","50.3% S / 49.7% D","1.15","9.3","7.9","63","18.0","4:27","182","4:49","4:49","--","--"
"3","4:46.6","14:51","1.00","4:47","4:51","166","168","4","13","352","5.10","434","6.29","180","243","50.3% S / 49.7% D","1.16","9.4","7.9","64","16.0","4:15","183","4:46.6","4:47","--","--"
"4","4:38.1","19:29","1.00","4:38","4:42","167","168","1","13","343","4.97","401","5.81","180","242","50.4% S / 49.6% D","1.20","9.4","7.5","63","15.0","4:20","183","4:38","4:38","--","--"
"5","4:47.2","24:16","1.00","4:47","4:47","167","168","6","5","351","5.09","401","5.81","180","240","50.1% S / 49.9% D","1.16","9.4","7.9","65","15.0","4:18","183","4:47","4:47","--","--"
"6","4:45.3","29:02","1.00","4:45","4:48","169","172","2","7","342","4.96","382","5.54","180","238","49.9% S / 50.1% D","1.17","9.3","7.8","65","14.0","4:25","184","4:45","4:45","--","--"
"7","4:42.8","33:44","1.00","4:43","4:50","168","171","2","14","323","4.68","379","5.49","177","234","48.9% S / 51.1% D","1.18","9.5","7.8","64","14.0","4:25","183","4:42.8","4:43","--","--"
"8","4:49.2","38:34","1.00","4:49","4:50","168","170","4","5","341","4.94","424","6.14","180","236","49.4% S / 50.6% D","1.15","9.4","7.9","65","14.0","4:13","182","4:49","4:49","--","--"
"9","4:56.4","43:30","1.00","4:56","4:52","166","168","4","1","338","4.90","393","5.70","180","231","48.8% S / 51.2% D","1.12","9.5","8.2","66","15.0","4:33","186","4:56.4","4:56","--","--"
"10","4:54.0","48:24","1.00","4:54","4:55","164","166","6","2","351","5.09","468","6.78","180","231","49.3% S / 50.7% D","1.11","9.4","8.3","65","15.0","3:49","182","4:54","4:54","--","--"
"11","5:02.1","53:26","1.00","5:02","5:00","160","163","9","7","346","5.01","554","8.03","177","236","49.2% S / 50.8% D","1.12","9.7","8.4","65","15.0","4:19","182","5:02","5:02","--","--"
"12","4:56.2","58:22","1.00","4:56","4:55","159","163","7","4","351","5.09","410","5.94","177","234","49.3% S / 50.7% D","1.15","10.0","8.5","62","16.0","4:32","182","4:56","4:56","--","--"
"13","4:51.3","1:03:14","1.00","4:51","4:42","158","161","5","3","355","5.14","480","6.96","179","228","48.9% S / 51.1% D","1.17","9.7","8.1","60","15.0","3:52","182","4:51","4:51","--","--"
"14","4:58.5","1:08:12","1.00","4:58","4:56","155","159","4","4","343","4.97","460","6.67","176","238","49.6% S / 50.4% D","1.16","10.0","8.5","62","15.0","4:06","182","4:58.5","4:58","--","--"
"15","5:10.4","1:13:22","1.00","5:10","5:08","155","159","6","0","337","4.88","392","5.68","173","253","49.9% S / 50.1% D","1.12","10.0","8.8","63","15.0","4:46","182","5:10","5:10","--","--"
"16","5:08.1","1:18:31","1.00","5:08","5:05","154","158","5","4","335","4.86","428","6.20","173","247","49.6% S / 50.4% D","1.13","10.1","8.7","65","16.0","4:47","182","5:08","5:08","--","--"
"17","5:00.9","1:23:31","1.00","5:01","5:00","155","158","3","2","337","4.88","379","5.49","176","239","49.6% S / 50.4% D","1.14","9.8","8.4","64","16.0","4:40","183","5:00.9","5:01","--","--"
"18","5:01.1","1:28:33","1.00","5:01","4:59","154","157","6","1","353","5.12","389","5.64","172","249","49.9% S / 50.1% D","1.16","10.4","8.7","65","16.0","4:51","182","5:01","5:01","--","--"
"19","5:01.8","1:33:34","1.00","5:02","5:03","155","158","5","3","352","5.10","390","5.65","170","254","50.3% S / 49.8% D","1.17","10.6","8.9","64","16.0","4:50","174","5:01.8","5:02","--","--"
"20","4:48.7","1:38:23","1.00","4:49","4:47","159","162","7","7","370","5.36","464","6.72","177","238","49.5% S / 50.5% D","1.18","9.9","8.1","61","15.0","4:33","182","4:48.7","4:49","--","--"
"21","4:53.9","1:43:17","1.00","4:54","4:53","158","161","5","4","366","5.30","417","6.04","171","253","50.2% S / 49.8% D","1.20","10.5","8.5","61","16.0","4:29","179","4:53","4:53","--","--"
"22","0:09","1:43:26","0.01","11:55","8:40","153","154","0","0","138","2.00","247","3.58","108","525","50.0% S / 50.0% D","1.02","7.1","6.0","--","16.0","5:29","114","0:09","11:55","--","--"
"Riepilogo","1:43:26","1:43:26","21.01","4:55","4:55","160","172","111","108","347","5.03","554","8.03","177","241","49.7% S / 50.3% D","1.15","9.7","8.3","1,337","15.6","3:49","186","1:43:23","4:55","--","--"
