"Lap","Tempo","Tempo cumulato","Distanza km","Passo medio min/km","PRP medio min/km","FC Media bpm","FC max bpm","Ascesa totale m","Discesa totale m","Potenza media W","W/kg medio","Potenza max W","W/kg massimo","Cadenza di corsa media pam","Tempo medio di contatto con il suolo ms","Media bilanciamento TCS %","Lunghezza media passo m","Oscillazione verticale media cm","Rapporto verticale medio %","Calorie C","Temperatura med","Passo migliore min/km","Cadenza di corsa max pam","Tempo in movimento","Passo medio in movimento min/km","Perdita velocità di passo media cm/s","Percentuale perdita velocità di passo media %"
"2","6:31.9","12:59","1.00","6:32","6:36","139","143","1","8","266","4.26","340","5.33","176","267","51.3% S / 48.7% D","1.27","8.3","9.2","70","21.0","6:19","178","6:31.9","6:32","--","--"
"3","2:37.5","15:36","0.40","6:34","6:34","139","142","3","4","267","4.27","355","5.14","175","267","51.4% S / 48.6% D","1.27","8.2","9.2","28","20.0","6:09","180","2:37.5","6:34","--","--"
"4","0:19.0","15:55","0.08","3:58","4:09","150","157","3","0","454","6.58","543","8.27","198","222","52.2% S / 47.8% D","1.17","7.9","7.1","4","20.0","3:48","202","0:18","3:45","--","--"
"5","0:42.8","16:38","0.10","7:08","5:51","153","158","0","1","315","4.57","526","8.02","175","269","51.5% S / 48.5% D","1.28","8.5","9.4","9","19.0","4:07","197","0:42","7:00","--","--"
"6","0:18.2","16:56","0.08","3:47","4:29","153","159","0","0","377","5.46","459","7.05","197","222","51.8% S / 48.2% D","1.15","8.2","8.0","4","19.0","3:35","204","0:17","3:33","--","--"
"7","0:43.1","17:39","0.10","7:12","6:31","153","159","0","2","264","4.23","392","6.08","173","268","51.2% S / 48.8% D","1.30","8.6","9.4","9","19.0","4:08","189","0:42","7:00","--","--"
"8","0:17.0","17:56","0.08","3:32","3:57","154","159","1","0","426","6.17","524","7.59","202","213","51.6% S / 48.4% D","1.21","8.2","7.5","4","19.0","3:17","211","0:16","3:20","--","--"
"9","0:40.2","18:36","0.10","6:42","6:32","157","160","0","1","271","4.33","437","6.33","173","271","51.7% S / 48.3% D","1.33","8.5","8.9","8","19.0","4:03","185","0:39","6:30","--","--"
"10","0:14.3","18:51","0.06","3:59","4:44","154","158","1","0","390","6.05","489","7.09","194","226","51.5% S / 48.5% D","1.07","8.3","8.4","3","19.0","3:55","200","0:13","3:37","--","--"
"11","4:22.8","23.14","0.60","7:18","7:00","142","160","3","9","253","4.27","474","7.27","172","277","50.9% S / 49.1% D","1.23","8.4","10.0","46","18.5","3:55","199","4:21","7:15","--","--"
"12","1:21.7","24:35","0.30","4:33","4:03","162","168","15","0","448","6.49","563","8.16","188","232","50.7% S / 49.3% D","1.15","8.6","7.5","19","18.0","3:56","197","1:21","4:30","--","--"
"13","1:48.5","26:24","0.30","6:02","6:06","153","168","0","13","272","4.34","440","6.38","172","260","51.0% S / 49.0% D","1.39","9.4","9.3","22","18.0","4:41","187","1:47","5:57","--","--"
"14","1:10.3","27:34","0.30","3:55","3:31","164","176","13","0","516","7.48","683","10.30","201","211","51.0% S / 49.0% D","1.29","8.1","6.3","16","17.0","3:25","209","1:10","3:54","--","--"
"15","1:58.0","29:32","0.30","6:34","7:00","160","176","0","19","245","3.55","555","8.04","166","277","50.9% S / 49.1% D","1.35","9.7","10.5","24","17.0","4:10","177","1:57","6:31","--","--"
"16","1:09.6","30:42","0.30","3:52","3:34","163","175","13","0","512","7.42","694","10.06","198","216","51.2% S / 48.8% D","1.30","8.2","6.5","16","17.0","3:17","206","1:08","3:47","--","--"
"17","1:58.5","32:40","0.30","6:36","6:34","164","177","2","17","260","4.17","557","8.07","167","273","51.5% S / 48.5% D","1.35","9.7","10.1","24","17.0","3:51","194","1:58","6:34","--","--"
"18","1:11.1","33:51","0.30","3:57","3:39","164","176","14","1","502","7.28","697","10.10","195","224","51.2% S / 48.8% D","1.30","8.2","6.6","16","17.0","3:24","203","1:09","3:50","--","--"
"19","1:59.4","35:51","0.30","6:39","6:32","165","178","3","18","259","4.15","569","8.25","164","284","51.2% S / 48.8% D","1.35","9.8","10.5","24","17.0","3:57","191","1:59","6:38","--","--"
"20","1:37.6","37:28","0.40","4:04","3:45","168","179","22","0","500","7.25","699","10.13","195","225","51.1% S / 48.9% D","1.30","8.2","6.6","21","16.0","3:20","204","1:37.6","4:04","--","--"
"21","4:13.2","41:41","0.60","7:02","6:25","151","178","0","21","237","3.42","350","5.00","163","290","51.1% S / 48.9% D","1.42","9.3","10.5","47","16.0","5:40","175","4:13.2","7:02","--","--"
"22","6:57.2","48:39","1.00","6:57","6:52","144","146","9","8","245","3.55","378","5.48","172","275","50.5% S / 49.5% D","1.24","8.2","9.6","68","16.0","5:55","175","6:57","6:57","--","--"
"23","6:56.1","55:35","1.00","6:56","6:51","146","149","8","4","245","3.55","315","4.57","171","278","50.8% S / 49.2% D","1.24","8.3","9.7","70","18.0","6:00","175","6:56","6:56","--","--"
"24","6:54.2","1:02:29","1.00","6:54","6:45","143","148","15","7","254","4.08","360","5.22","173","278","50.8% S / 49.2% D","1.25","8.1","9.4","68","19.0","5:41","177","6:54","6:54","--","--"
"25","0:45.8","1:03:15","0.11","6:55","6:39","144","145","2","0","267","4.27","310","4.49","173","282","50.8% S / 49.3% D","1.23","7.8","9.2","8","20.0","6:51","175","0:45","6:47","--","--"
"Riepilogo","1:03:15","1:03:15","10.11","6:15","6:08","147","179","137","133","285","4.13","699","10.13","175","268","51.0% S / 49.0% D","1.32","8.5","9.3","696","18.8","3:17","211","1:03:10","6:15","--","--"
