"Lap","Tempo","Tempo cumulato","Distanza km","Passo medio min/km","PRP medio min/km","FC Media bpm","FC max bpm","Ascesa totale m","Discesa totale m","Potenza media W","W/kg medio","Potenza max W","W/kg massimo","Cadenza di corsa media pam","Tempo medio di contatto con il suolo ms","Media bilanciamento TCS %","Lunghezza media passo m","Oscillazione verticale media cm","Rapporto verticale medio %","Calorie C","Temperatura med","Passo migliore min/km","Cadenza di corsa max pam","Tempo in movimento","Passo medio in movimento min/km","Perdita velocità di passo media cm/s","Percentuale perdita velocità di passo media %"
"1","6:24.4","6:24.4","1.00","6:24","6:26","138","147","17","37","252","3.65","433","6.28","166","250","49.8% S / 50.2% D","0.94","8.5","8.9","74","32.0","5:24","184","6:03","6:03","--","--"
"2","6:17.1","12:41","1.00","6:17","6:25","148","154","5","22","246","3.57","330","4.78","176","229","49.7% S / 50.3% D","0.91","8.7","9.4","72","33.0","5:51","180","6:17","6:17","--","--"
"3","5:43.5","18:25","1.00","5:44","5:32","156","162","21","7","308","4.46","406","5.88","178","231","49.5% S / 50.5% D","0.98","8.9","9.0","71","34.0","5:03","183","5:43","5:43","--","--"
"4","5:06.1","23:31","1.00","5:06","4:52","165","167","18","3","358","5.19","544","7.88","179","225","49.6% S / 50.4% D","1.10","9.5","8.3","69","33.0","4:56","183","5:06","5:06","--","--"
"5","5:17.0","28:48","1.00","5:17","5:15","168","170","6","3","325","4.71","408","5.91","178","223","49.6% S / 50.4% D","1.06","9.5","8.7","71","30.0","5:05","186","5:17","5:17","--","--"
"6","5:50.5","34:39","1.00","5:51","5:56","167","172","7","21","281","4.07","388","5.62","174","229","49.1% S / 50.9% D","0.98","9.5","9.6","75","30.0","4:47","183","5:50.5","5:51","--","--"
"7","7:32.8","42:11","1.00","7:33","7:22","151","165","16","17","228","3.30","380","5.51","148","352","49.2% S / 50.8% D","0.90","8.9","9.7","72","30.0","6:08","177","7:32.8","7:33","--","--"
"8","6:13.0","48:24","1.00","6:13","6:14","159","164","2","7","283","4.10","349","5.06","171","233","49.0% S / 51.0% D","0.95","9.5","9.8","73","29.0","5:58","175","6:13","6:13","--","--"
"9","2:30.1","50:54","0.41","6:09","6:02","165","167","7","3","298","4.32","371","5.38","170","233","48.3% S / 51.7% D","0.96","9.7","9.9","30","29.0","6:03","174","2:29","6:06","--","--"
"Riepilogo","50:54","50:54","8.41","6:03","6:00","156","172","99","120","282","4.09","544","7.88","170","250","49.4% S / 50.6% D","0.97","9.1","9.3","608","31.2","4:47","186","50:31","6:01","--","--"
