"Lap","Tempo","Tempo cumulato","Distanza km","Passo medio min/km","PRP medio min/km","FC Media bpm","FC max bpm","Ascesa totale m","Discesa totale m","Potenza media W","W/kg medio","Potenza max W","W/kg massimo","Cadenza di corsa media pam","Tempo medio di contatto con il suolo ms","Media bilanciamento TCS %","Lunghezza media passo m","Oscillazione verticale media cm","Rapporto verticale medio %","Calorie C","Temperatura med","Passo migliore min/km","Cadenza di corsa max pam","Tempo in movimento","Passo medio in movimento min/km","Perdita velocità di passo media cm/s","Percentuale perdita velocità di passo media %"
"1","6:26.7","6:26.7","1.00","6:27","6:28","134","144","1","2","268","3.88","326","4.72","174","265","50.4% S / 49.6% D","0.89","8.7","9.6","68","26.0","5:44","178","6:26.7","6:27","--","--"
"2","6:46.6","13:13","1.00","6:47","6:54","145","150","4","14","243","3.52","310","4.49","174","269","50.2% S / 49.8% D","0.85","8.4","9.7","72","24.0","6:20","178","6:46.6","6:47","--","--"
"3","6:45.6","19:59","1.00","6:46","6:46","145","148","4","6","253","3.67","332","4.81","175","266","49.2% S / 50.8% D","0.85","8.2","9.4","72","22.0","6:27","178","6:45.6","6:46","--","--"
"4","6:56.1","26:55","1.00","6:56","6:56","146","149","5","5","240","3.48","312","4.52","176","263","49.0% S / 51.0% D","0.82","8.0","9.6","70","21.0","6:30","178","6:56","6:56","--","--"
"5","7:00.7","33:56","1.00","7:01","7:08","148","151","4","17","234","3.39","269","3.90","176","264","49.4% S / 50.6% D","0.81","8.0","9.6","71","20.0","6:12","179","7:00","7:00","--","--"
"6","7:03.2","40:59","1.00","7:03","7:00","146","149","11","3","245","3.55","342","4.96","176","270","49.9% S / 50.1% D","0.81","7.9","9.6","70","21.0","6:08","181","7:03.2","7:03","--","--"
"7","7:09.1","48:08","1.00","7:09","7:10","145","148","9","10","240","3.48","323","4.68","175","271","50.0% S / 50.0% D","0.80","8.0","9.8","68","21.0","6:40","178","7:09","7:09","--","--"
"8","7:06.0","55:14","1.00","7:06","6:56","144","148","11","3","250","3.62","373","5.41","176","270","50.1% S / 49.9% D","0.80","7.9","9.6","69","21.0","6:07","180","7:06.0","7:06","--","--"
"9","6:56.8","1:02:11","1.00","6:57","6:58","144","149","4","4","244","3.54","322","4.67","175","270","50.2% S / 49.8% D","0.82","8.1","9.6","68","21.0","6:44","180","6:56.8","6:57","--","--"
"10","6:54.5","1:09:05","1.00","6:54","6:55","144","148","5","7","247","3.58","327","4.74","174","271","50.4% S / 49.6% D","0.83","8.2","9.6","67","21.0","6:03","177","6:54","6:54","--","--"
"11","6:47.9","1:15:53","1.00","6:48","6:48","143","146","5","4","248","3.59","289","4.19","175","272","50.5% S / 49.5% D","0.84","8.1","9.5","67","21.0","6:28","177","6:47.9","6:48","--","--"
"12","6:41.2","1:22:34","1.00","6:41","6:34","144","148","11","3","268","3.88","305","4.42","175","269","50.3% S / 49.7% D","0.86","8.2","9.4","68","21.0","6:28","178","6:41","6:41","--","--"
"13","6:45.2","1:29:19","1.00","6:45","6:41","146","150","5","1","257","3.72","296","4.29","173","272","50.4% S / 49.6% D","0.86","8.4","9.6","69","20.0","6:27","177","6:45","6:45","--","--"
"14","0:42.3","1:30:02","0.11","6:39","6:27","149","151","2","0","283","4.10","320","4.64","175","273","50.2% S / 49.8% D","0.85","8.0","9.3","7","20.0","6:43","176","0:42","6:36","--","--"
"Riepilogo","1:30:02","1:30:02","13.11","6:52","6:52","144","151","82","80","249","3.61","373","5.41","175","269","50.0% S / 50.0% D","0.83","8.1","9.6","906","21.5","5:44","181","1:30:00","6:52","--","--"
