"Lap","Tempo","Tempo cumulato","Distanza km","Passo medio min/km","PRP medio min/km","FC Media bpm","FC max bpm","Ascesa totale m","Discesa totale m","Potenza media W","W/kg medio","Potenza max W","W/kg massimo","Cadenza di corsa media pam","Tempo medio di contatto con il suolo ms","Media bilanciamento TCS %","Lunghezza media passo m","Oscillazione verticale media cm","Rapporto verticale medio %","Calorie C","Temperatura med","Passo migliore min/km","Cadenza di corsa max pam","Tempo in movimento","Passo medio in movimento min/km","Perdita velocità di passo media cm/s","Percentuale perdita velocità di passo media %"
"1","6:25.1","6:25.1","1.00","6:25","6:32","129","138","1","8","247","3.58","304","4.41","178","274","49.9% S / 50.1% D","0.88","7.4","8.3","66","28.0","5:20","180","6:24","6:24","--","--"
"2","6:15.8","12:41","1.00","6:16","6:12","138","141","11","7","264","3.83","380","5.51","179","270","50.0% S / 50.0% D","0.89","7.4","8.1","71","25.0","5:54","182","6:15.8","6:16","--","--"
"3","6:20.1","19:01","1.00","6:20","6:23","139","144","2","7","247","3.58","289","4.19","179","272","50.2% S / 49.8% D","0.88","7.3","8.0","70","23.0","6:08","182","6:20","6:20","--","--"
"4","6:21.2","25:22","1.00","6:21","6:18","140","144","8","5","257","3.72","316","4.58","179","271","50.3% S / 49.7% D","0.88","7.4","8.1","71","23.0","6:13","183","6:21","6:21","--","--"
"5","6:16.4","31:39","1.00","6:16","6:15","141","145","4","5","258","3.74","323","4.68","179","267","50.5% S / 49.5% D","0.90","7.6","8.3","70","22.0","5:17","183","6:16.4","6:16","--","--"
"6","6:18.4","37:57","1.00","6:18","6:19","143","150","8","8","258","3.74","333","4.83","179","268","50.7% S / 49.3% D","0.89","7.5","8.3","70","22.0","6:04","182","6:18","6:18","--","--"
"7","6:16.8","44:14","1.00","6:17","6:20","143","149","1","3","252","3.65","284","4.12","180","264","50.5% S / 49.5% D","0.89","7.6","8.4","69","21.0","6:06","183","6:16.8","6:17","--","--"
"8","6:19.6","50:33","1.00","6:20","6:19","143","145","2","2","253","3.67","291","4.22","179","266","50.8% S / 49.3% D","0.88","7.6","8.4","70","21.0","6:08","181","6:19","6:19","--","--"
"9","6:39.5","57:13","1.00","6:40","6:39","141","146","9","7","244","3.54","289","4.19","172","275","50.5% S / 49.5% D","0.88","7.7","8.5","69","21.0","6:12","180","6:39.5","6:40","--","--"
"10","6:20.5","1:03:33","1.00","6:21","6:21","144","149","6","8","257","3.72","298","4.32","178","267","50.6% S / 49.4% D","0.89","7.8","8.5","69","22.0","6:06","180","6:20","6:20","--","--"
"11","6:14.8","1:09:48","1.00","6:15","6:14","145","148","3","2","261","3.78","290","4.20","178","265","50.6% S / 49.4% D","0.90","7.9","8.5","69","23.0","6:07","182","6:14.8","6:15","--","--"
"12","6:22.4","1:16:11","1.00","6:22","6:21","146","150","6","3","262","3.80","305","4.42","177","267","50.6% S / 49.4% D","0.89","7.9","8.7","69","24.0","6:01","183","6:22.4","6:22","--","--"
"13","6:35.4","1:22:46","1.00","6:35","6:34","140","147","2","1","247","3.58","294","4.26","170","270","49.9% S / 50.1% D","0.88","8.1","9.1","68","24.0","6:06","180","6:35.4","6:35","--","--"
"14","6:30.0","1:29:16","1.00","6:30","6:32","145","148","2","5","255","3.70","277","4.01","174","273","50.6% S / 49.4% D","0.89","8.2","9.0","69","24.0","6:19","178","6:30","6:30","--","--"
"15","6:33.1","1:35:49","1.00","6:33","6:27","149","153","9","2","265","3.84","363","5.26","172","274","50.7% S / 49.3% D","0.89","8.4","9.3","73","26.0","6:20","176","6:33","6:33","--","--"
"16","6:24.5","1:42:14","1.00","6:24","6:23","150","153","3","3","261","3.78","292","4.23","173","272","50.7% S / 49.3% D","0.90","8.4","9.1","72","26.0","6:13","176","6:24","6:24","--","--"
"17","6:27.9","1:48:41","1.00","6:28","6:29","151","154","2","3","259","3.75","286","4.14","173","274","50.7% S / 49.3% D","0.90","8.4","9.1","72","27.0","6:17","177","6:27.9","6:28","--","--"
"18","6:22.7","1:55:04","1.00","6:23","6:18","153","156","7","2","269","3.90","309","4.48","174","272","50.4% S / 49.6% D","0.91","8.4","9.0","72","28.0","6:13","177","6:22.7","6:23","--","--"
"19","6:17.0","2:01:21","1.00","6:17","6:23","154","161","4","10","261","3.78","349","5.06","174","271","50.3% S / 49.7% D","0.91","8.4","9.0","71","27.0","5:53","178","6:17.0","6:17","--","--"
"20","6:17.7","2:07:39","1.00","6:18","6:10","155","160","12","10","275","3.99","412","5.97","173","268","50.8% S / 49.2% D","0.92","8.5","9.1","72","27.0","5:48","177","6:17.7","6:18","--","--"
"21","6:25.3","2:14:04","1.00","6:25","6:21","155","158","7","4","268","3.88","335","4.86","172","272","50.8% S / 49.2% D","0.91","8.6","9.3","72","27.0","6:08","177","6:25","6:25","--","--"
"22","7:20.8","2:21:25","1.00","7:21","7:20","148","157","13","15","228","3.30","313","4.54","155","300","50.7% S / 49.3% D","0.87","8.4","9.4","70","27.0","6:00","182","7:20.8","7:21","--","--"
"23","6:19.0","2:27:44","1.00","6:19","6:12","155","159","7","2","274","3.97","310","4.49","173","269","50.7% S / 49.3% D","0.92","8.6","9.2","71","27.0","6:11","177","6:19.0","6:19","--","--"
"24","7:41.7","2:35:26","1.00","7:42","7:48","144","156","10","21","209","3.03","334","4.84","151","298","50.3% S / 49.7% D","0.86","8.0","9.1","64","28.0","6:10","178","7:34","7:34","--","--"
"25","6:09.8","2:41:35","1.00","6:10","6:01","156","159","12","5","282","4.09","405","5.87","175","263","50.7% S / 49.3% D","0.93","8.5","9.0","71","27.0","5:56","179","6:09.8","6:10","--","--"
"26","6:15.4","2:47:51","1.00","6:15","6:13","156","158","4","4","271","3.93","334","4.84","174","267","50.6% S / 49.4% D","0.93","8.6","9.1","70","27.0","6:00","177","6:15","6:15","--","--"
"27","6:37.7","2:54:28","1.00","6:38","6:33","155","159","7","2","259","3.75","308","4.46","172","278","50.6% S / 49.4% D","0.88","8.4","9.3","71","28.0","6:15","176","6:37.7","6:38","--","--"
"28","0:40.0","2:55:08","0.11","6:13","6:17","157","159","1","0","273","3.96","290","4.20","174","266","50.3% S / 49.7% D","0.91","8.7","9.3","8","28.0","6:17","175","0:39","6:03","--","--"
"Riepilogo","2:55:08","2:55:08","27.11","6:28","6:26","147","161","165","160","257","3.72","412","5.97","173","272","50.5% S / 49.5% D","0.89","8.0","8.8","1,898","25.0","5:17","183","2:54:56","6:27","--","--"
