"Lap","Tempo","Tempo cumulato","Distanza km","Passo medio min/km","PRP medio min/km","FC Media bpm","FC max bpm","Ascesa totale m","Discesa totale m","Potenza media W","W/kg medio","Potenza max W","W/kg massimo","Cadenza di corsa media pam","Tempo medio di contatto con il suolo ms","Media bilanciamento TCS %","Lunghezza media passo m","Oscillazione verticale media cm","Rapporto verticale medio %","Calorie C","Temperatura med","Passo migliore min/km","Cadenza di corsa max pam","Tempo in movimento","Passo medio in movimento min/km","Perdita velocità di passo media cm/s","Percentuale perdita velocità di passo media %"
"1","6:52.1","6:52.1","1.00","6:52","6:48","133","143","8","2","255","3.70","358","5.19","165","274","50.8% S / 49.2% D","0.89","8.5","9.4","71","24.0","4:49","177","6:39","6:39","--","--"
"2","6:38.6","13:31","1.00","6:39","6:40","144","147","0","3","250","3.62","279","4.04","174","273","50.4% S / 49.6% D","0.87","8.2","9.2","72","20.0","6:28","177","6:38","6:38","--","--"
"3","6:46.9","20:18","1.00","6:47","6:47","144","147","1","1","253","3.67","290","4.20","172","275","50.3% S / 49.7% D","0.86","8.4","9.6","71","19.0","6:34","175","6:46.9","6:47","--","--"
"4","7:09.7","27:27","1.00","7:10","7:09","142","147","6","7","235","3.41","271","3.93","165","286","50.2% S / 49.8% D","0.85","8.2","9.5","70","19.0","6:41","174","7:09.7","7:10","--","--"
"5","6:53.0","34:20","1.00","6:53","6:52","144","147","3","2","247","3.58","283","4.10","171","272","49.6% S / 50.4% D","0.85","8.4","9.7","70","20.0","6:47","173","6:53","6:53","--","--"
"6","6:52.4","41:13","1.00","6:52","6:56","145","148","3","11","241","3.49","284","4.12","168","275","49.5% S / 50.5% D","0.87","8.7","9.8","70","21.0","6:18","175","6:52","6:52","--","--"
"7","7:17.6","48:30","1.00","7:18","7:16","143","147","6","4","227","3.29","256","3.71","163","302","49.6% S / 50.4% D","0.84","8.3","9.7","69","22.0","6:43","176","7:17.6","7:18","--","--"
"8","6:47.9","55:18","1.00","6:48","6:48","145","149","3","2","245","3.55","287","4.16","173","258","49.2% S / 50.8% D","0.85","8.4","9.8","69","25.0","6:23","175","6:47.9","6:48","--","--"
"9","6:52.1","1:02:10","1.00","6:52","6:47","146","151","5","1","249","3.61","312","4.52","173","256","49.2% S / 50.8% D","0.84","8.4","9.8","70","24.0","6:40","176","6:52","6:52","--","--"
"10","6:49.7","1:09:00","1.00","6:50","6:55","146","149","1","10","240","3.48","304","4.41","173","253","49.5% S / 50.5% D","0.85","8.6","10.0","69","25.0","5:26","177","6:49.7","6:50","--","--"
"11","6:47.6","1:15:48","1.00","6:47","6:44","147","150","6","3","252","3.65","300","4.35","173","255","49.2% S / 50.8% D","0.85","8.6","9.9","70","27.0","6:33","176","6:47","6:47","--","--"
"12","6:54.1","1:22:42","1.00","6:54","6:36","147","152","18","3","270","3.91","418","6.06","171","261","49.4% S / 50.6% D","0.86","8.7","10.1","72","26.0","5:57","177","6:54","6:54","--","--"
"13","2:08.9","1:24:51","0.32","6:46","6:35","149","152","6","1","274","3.97","314","4.55","172","263","49.1% S / 50.9% D","0.86","8.9","10.1","23","24.0","6:40","175","2:08","6:43","--","--"
"Riepilogo","1:24:51","1:24:51","12.32","6:53","6:51","144","152","66","53","247","3.58","418","6.06","168","270","49.7% S / 50.3% D","0.86","8.5","9.7","866","22.7","4:49","177","1:24:35","6:52","--","--"
